wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-113.wav|You're thinking, what if the shot didn't come from the roof?
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-117.wav|No-no. We're onto something... There was a map in the bookstore. We should come back with it, compare the landscape to the radius of the shot.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-118.wav|There was a map in the bookstore. We should come back with it, compare the landscape to the radius of the shot.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-144.wav|I see you have given this a lot of thought,. Are those the locations you've singled out, in addition to the roof? And what is the likelihood, in your opinion, that it came from a further distance?
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-148.wav|Okay. Well, we should see if there is gunshot residue or sniper nests if we go down the coast. Rule these spots out, one by one.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-149.wav|It would be the diligent thing to do. Until then, personally, I'm going with the roof version. A simple hypothesis can be wrong, but it's something to build on.
wavs/alternative-0-Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-149-0.wav|It would be the diligent thing to do. Until then, personally, I'm going with the roof version. It fits the hidden path through the Whirling. A simple hypothesis.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-151.wav|From where, precisely?
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-211.wav|Unless she thinks the perpetrator was standing on the ring antenna, that is where the thread seems to point.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-212.wav|She was there that night, she would have known precisely where the bullet hole was in the glass...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-213.wav|It also looks like there may be more to her skill set than we know. The question is, should we trust her?
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-220.wav|I remember.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-228.wav|I just haven't gotten a lot of sleep these past few days.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-232.wav|Okay, let's go to the fucking island.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-235.wav|Of course.. Of course I'm in.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-236.wav|No. You're right. We have to go to the island. Pardon me, the concussion...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-237.wav|How do we get there? Joyce Messier had her sloop, but she's gone.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-238.wav|No. There's nothing else...
wavs/alternative-0-Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-238-0.wav|No. There's nothing else...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-248.wav|Maybe, there were boats there. We should ask around. Let's go.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-251.wav|Yes, but it'll take them days to give it to us.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-252.wav|We could ask around in the fishing village. They had boats.
wavs/alternative-0-Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-252-0.wav|We should ask around the fishing village down the coast. There was a fisherwoman who was tarring a boat.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-257.wav|This is ballistics. She's left a trajectory for us...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-267.wav|I don't know. At this point...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-268.wav|I find that hard to believe. But at this point... what difference does it make?
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-282.wav|No. I just don't want to walk into another embarrassment. I am a creature of pride, you see.... I'm afraid of becoming a joke.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-283.wav|I understand.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-285.wav|Could be the makings of a sniper's nest...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-302.wav|No-no. We're onto something... We should come back with a map and compare the landscape to the radius of the shot.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-303.wav|Good. We should come back with the map and compare the landscape to the radius of the shot.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-455.wav|This is ballistics. She's left a trajectory for us...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-471.wav|We need to do ballistics on this, understand where the shot came from once and for all.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-489.wav|It's not impossible.. There is a narrow opening between the commercial area and the collapsed tenement north of it...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-521.wav|Indeed. Neither do I.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-12.wav|I don't know.
wavs/alternative-0-Kim Kitsuragi-WHIRLING F3  BARRED DOOR-12-0.wav|I don't know, lieutenant-yefreitor.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-13.wav|To the workshop behind the wall.. This must be the barred door we saw, we could return and open it from the inside.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-15.wav|It is not the first closed door we've found in this building, there is also your mysterious blue kitchen door.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-20.wav|The further we get, the more this building seems to be tied to the case...
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-25.wav|The vigilantes, the cadaver, and.... A number of people connected to the case are in or around this building. This door is part of it. It's not unimportant.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-33.wav|It must be connected to the room we found behind the kitchen door. Maybe we should go back and take that elevator up...
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-54.wav|I don't see how this is going to give new results.. There must be another way in there.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-69.wav|Through the kitchen door, perhaps? Let's explore, rather than destroy.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-70.wav|We should search downstairs. There are things about this building we don't know yet.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-96.wav|Sounds like the property damage wasn't in vain, at least. Would it hurt to look in?
wavs/alternative-0-Kim Kitsuragi-WHIRLING F3  BARRED DOOR-96-0.wav|Well,. Sounds like this time the property damage was at least resultive. Would it hurt to look in?
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-102.wav|I don't know about that...
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-130.wav|The door has withstood your demolishing attempts.. There must be another way in.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-143.wav|It's the barred door we saw.. I don't know why we didn't open it from the inside, we should.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-146.wav|I hate it when that happens.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-147.wav|No, still a mini-investigation.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-155.wav|We should search downstairs, in the kitchen, just in case. Maybe there's a door that leads up, that we don't know of.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-159.wav|I don't know. The further we get, the more this building seems to be tied to the case...
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-171.wav|The vigilantes, the cadaver, and.... A number of people connected to the case are in or around this building. This door is part of it. It's not unimportant.
wavs/Kim Kitsuragi-WHIRLING F3  BARRED DOOR-175.wav|I don't see how this is going to give new results.. There must be another way in there.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-9.wav|Miss, were you sexually assaulted recently?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-48.wav|Are you saying that you were asked to tell us you were assaulted?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-98.wav|I'm sorry, miss, but we need a definite statement.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-116.wav|You're being sarcastic.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-119.wav|I'm not.. What was your relationship with the man they hanged?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-132.wav|What did you do? When you partied?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-171.wav|How did you two meet?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-180.wav|When was this?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-200.wav|Thank you for making the call, miss. It was the right thing to do.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-229.wav|He won't be down there long, miss. We will move the body to the morgue soon.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-230.wav|We will move the body to the morgue today, miss. Don't worry.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-247.wav|Reporting crimes is confidential in Revachol, miss.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-252.wav|The voice was disguised,. Did you?...
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-259.wav|Which landline?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-275.wav|I know it's difficult, miss. We can return to it later.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-300.wav|Funny,
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-302.wav|Nothing.. I also saw him. We had a long inspection and that sort of thing... sticks with you. Let's move on.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-311.wav|And his role in this strike was... what?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-314.wav|And they lynched him for it?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-325.wav|You mean after they hanged him?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-327.wav|So am I. Were you aware that he had also been shot, miss?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-335.wav|Like you partied with the deceased?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-368.wav|Should we head back downstairs, officer?. We may have things to discuss there.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-603.wav|I'm sorry, but we're not quite done here yet.. We have more questions. Better to be thorough now than have to come back to this later.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-692.wav|You do not need to know that.. What you need is to ask normal police questions, like...
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-716.wav|I'm sorry to have to ask this, but have you had a physical relationship with any of the Hardie boys?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE RAPE VOLITION-750.wav|Are you saying that you were asked to tell us you were assaulted?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-14.wav|We are in the process of listening to it. But haven't, yet.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-42.wav|It's intercepted radio chatter of the deceased, recorded via a de-encryption station. It's authentic enough.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-60.wav|Did he tell you he had actually done any of those things, here in Martinaise, I mean?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-72.wav|The phrase was used.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-79.wav|I don't see how your problems are relevant right now, officer,
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-91.wav|Yes, was he bragging?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-111.wav|Like, for example, his name?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-123.wav|Lelystad. That's a good start...
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-124.wav|We have a few questions you can help us with. A few things a field autopsy alone can't answer.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-131.wav|It just occurred to me, colleague,. We still haven't performed a field autopsy on the deceased.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-132.wav|The questions I have assume some kind of foreknowledge on our part. I suggest we go and perform it now and return once we've brought ourselves up to date.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-148.wav|Oh yes,. His hair, if you can remember?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-151.wav|You were right, officer.. He was Occidental.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-155.wav|You were almost right, officer.. That means his race was Occidental, not Mondial. I'll update the form.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-159.wav|Miss,. Excuse my colleague, he has recently suffered brain damage. We will now go and do our duty cleaning up the deceased.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-162.wav|You won't have to look at that sight much longer, I promise. We will return soon.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-164.wav|All right, but quickly. She has endured that sight long enough.. It's time for us to do our duty.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-167.wav|Excuse the delay, miss,. This situation will be addressed now. We'll be back soon.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-172.wav|It isn't. Police work is a cooperative sport.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-182.wav|That's too conceptual for me, I just like to get autopsies right, on the first try, if possible.. Where were we?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-185.wav|That's too pinball for me. I just like to get autopsies right on the first try.. Where were we?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-190.wav|Did that bring you together?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-231.wav|Right again, officer.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-232.wav|Looks like you were right, officer.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-236.wav|We were slightly off then. Thank you for clearing it up.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-237.wav|Forty-two? Are you sure? I would have had him above fifty...
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-251.wav|That's too conceptual for me, I just like to get autopsies correct, on the first try if possible.. Where were we?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-256.wav|That's too pinball for me, I just like to get autopsies right on the first try.. Where were we?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-261.wav|It isn't. Police work is a cooperative sport.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-277.wav|He had a combat wound, on his chin and mouth?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-310.wav|No,
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-313.wav|I can see you've put quite a few things here, they don't all give you a point.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-322.wav|Okay. Sure. Here you go. What else are we missing, officer?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-396.wav|It's quite expensive, miss. But we'll manage without your help for now.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-451.wav|Do you feel guilty about what happened to him?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-454.wav|What do you think it will tell us?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-461.wav|Alright.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-465.wav|Yes, miss. I hope you don't mind.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-485.wav|Lely?. That was his name?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-507.wav|Thank you for clearing that up, miss.. Whenever you're ready, I'm interested to hear what Titus Hardie has to say now.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-541.wav|Another fantastic moment,. What next?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-564.wav|Did he tell you he had actually done any of those things, here in Martinaise, I mean?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-593.wav|Was he bragging?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-613.wav|I don't see how your problems are relevant right now, officer,
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE TAPE LELY-688.wav|This means his race was Occidental, which fits the statements of another witness,
wavs/Kim Kitsuragi-KIM SWITCH  KLAASJE REACTION-10.wav|The victim? Is there something I should know before we talk to her?
wavs/Kim Kitsuragi-KIM SWITCH  KLAASJE REACTION-12.wav|It's not nothing, you were coming apart at the seams.. Do you know the assault victim?
wavs/Kim Kitsuragi-KIM SWITCH  KLAASJE REACTION-13.wav|You looked strange when he mentioned the assault victim's name.. Do you know that woman?
